title,year,tmdb_id,matched_title,budget,revenue,roi,vote_average,vote_count,has_financials,has_reception,usable
10 Things I Hate About You,1999,4951,10 Things I Hate About You,16000000,53478166,3.34,7.593,8970,True,True,True
12,2003,712608,12,0,0,,6.478,23,False,False,False
12 Monkeys,1995,63,Twelve Monkeys,29000000,168841459,5.82,7.609,9169,True,True,True
12 and Holding,2005,,,,,,,,False,False,False
1492: Conquest of Paradise,1992,1492,1492: Conquest of Paradise,47000000,7191399,0.15,6.287,923,True,True,True
15 Minutes,2001,2749,15 Minutes,60000000,56359980,0.94,5.922,809,True,True,True
17 Again,2009,16996,17 Again,20000000,136300000,6.82,6.321,5444,True,True,True
2001: A Space Odyssey,1968,62,2001: A Space Odyssey,12000000,71923560,5.99,8.049,12663,True,True,True
2012,2009,14161,2012,200000000,791217826,3.96,5.884,12792,True,True,True
25th Hour,2002,1429,25th Hour,5000000,23932055,4.79,7.315,2587,True,True,True
30 Minutes or Less,2011,62206,30 Minutes or Less,28000000,40500000,1.45,5.777,1842,True,True,True
44 Inch Chest,2009,29182,44 Inch Chest,0,0,,5.478,113,False,True,False
48 Hrs.,1982,150,48 Hrs.,12000000,78868508,6.57,6.688,1730,True,True,True
50-50,2011,40807,50/50,8000000,39187783,4.9,7.181,4118,True,True,True
500 Days of Summer,2009,19913,(500) Days of Summer,7500000,60781545,8.1,7.303,11085,True,True,True
84C MoPic,1989,55149,84 Charlie Mopic,500000,156264,0.31,6.2,44,True,False,False
8mm,1999,8224,8MM,40000000,96618699,2.42,6.495,2296,True,True,True
9,2009,12244,9,30000000,48428063,1.61,6.959,3912,True,True,True
A Bucket of Blood,1995,222858,A Bucket of Blood,0,0,,5.026,19,False,False,False
A Dry White Season,1989,32075,A Dry White Season,0,0,,6.7,114,False,True,False
A Few Good Men,1992,881,A Few Good Men,40000000,243240178,6.08,7.551,4185,True,True,True
A Hard Days Night,1964,704,A Hard Day's Night,560000,11000000,19.64,7.332,743,True,True,True
A Night at the Roxbury,1998,9429,A Night at the Roxbury,17000000,30331165,1.78,6.531,1009,True,True,True
A Nightmare on Elm Street 2: Freddys Revenge,1985,10014,A Nightmare on Elm Street Part 2: Freddy's Revenge,3000000,30000121,10.0,5.8,2119,True,True,True
A Nightmare on Elm Street 3: Dream Warriors,1987,10072,A Nightmare on Elm Street 3: Dream Warriors,4450000,44793222,10.07,6.713,2044,True,True,True
A Nightmare on Elm Street 4: The Dream Master,1988,10131,A Nightmare on Elm Street 4: The Dream Master,6500000,49369899,7.6,5.9,1627,True,True,True
A Nightmare on Elm Street 5: The Dream Child,1989,10160,A Nightmare on Elm Street: The Dream Child,8000000,22168359,2.77,5.4,1441,True,True,True
A Nightmare on Elm Street,1984,377,A Nightmare on Elm Street,1800000,57004513,31.67,7.347,5777,True,True,True
A Perfect World,1993,9559,A Perfect World,30000000,135100000,4.5,7.505,1865,True,True,True
A Serious Man,2009,12573,A Serious Man,7000000,31400000,4.49,6.7,2386,True,True,True
A Walk to Remember,2002,10229,A Walk to Remember,11800000,47494916,4.02,7.752,4280,True,True,True
A.I. Artificial Intelligence,2001,644,A.I. Artificial Intelligence,100000000,235926552,2.36,7.062,6697,True,True,True
Above the Law,1988,9395,Above the Law,7500000,18869631,2.52,6.137,804,True,True,True
Absolute Power,1997,66,Absolute Power,50000000,50100000,1.0,6.661,1253,True,True,True
Ace Ventura: Pet Detective,1994,3049,Ace Ventura: Pet Detective,15000000,107217396,7.15,6.6,6423,True,True,True
Adaptation,2002,2757,Adaptation.,19000000,32800000,1.73,7.336,2795,True,True,True
Affliction,1997,,,,,,,,False,False,False
After.Life,2009,36419,After.Life,4500000,3606395,0.8,6.328,1242,True,True,True
Agnes of God,1985,24735,Agnes of God,0,0,,6.284,139,False,True,False
Air Force One,1997,9772,Air Force One,85000000,315200000,3.71,6.469,3335,True,True,True
Airplane II: The Sequel,1982,2665,Airplane II: The Sequel,15000000,27150534,1.81,6.081,1275,True,True,True
Airplane!,1980,813,Airplane!,3500000,83453539,23.84,7.306,5107,True,True,True
Aladdin,1992,812,Aladdin,28000000,504050219,18.0,7.655,12063,True,True,True
Ali,2001,8489,Ali,107000000,87812729,0.82,6.752,1882,True,True,True
Alien,1979,348,Alien,11000000,104931801,9.54,8.171,16474,True,True,True
Alien 3,1992,8077,Alien³,50000000,159773545,3.2,6.385,6408,True,True,True
Alien Nation,1988,10128,Alien Nation,16000000,32155047,2.01,6.094,339,True,True,True
Alien vs. Predator,2004,395,AVP: Alien vs. Predator,70000000,177427090,2.53,5.95,4996,True,True,True
Alien: Resurrection,1997,8078,Alien Resurrection,70000000,162000000,2.31,6.169,5593,True,True,True
Aliens,1986,679,Aliens,18500000,183316455,9.91,7.964,10920,True,True,True
All About Eve,1950,705,All About Eve,1400000,8402553,6.0,8.1,1707,True,True,True
All About Steve,2009,23706,All About Steve,15000000,40105542,2.67,4.977,1062,True,True,True
All the Kings Men,1949,25430,All the King's Men,0,0,,7.0,244,False,True,False
All the Presidents Men,1976,891,All the President's Men,8500000,70600000,8.31,7.7,2093,True,True,True
Almost Famous,2000,786,Almost Famous,60000000,47386287,0.79,7.501,3121,True,True,True
Alone in the Dark,2005,12142,Alone in the Dark,20000000,12693645,0.63,3.322,673,True,True,True
Amadeus,1984,279,Amadeus,18000000,90007557,5.0,8.021,4787,True,True,True
Amelia,2009,8915,Amelia,40000000,19643086,0.49,5.687,261,True,True,True
American Beauty,1999,14,American Beauty,15000000,356296601,23.75,7.999,13112,True,True,True
American Gangster,2007,4982,American Gangster,100000000,269755430,2.7,7.594,6085,True,True,True
American Graffiti,1973,838,American Graffiti,777000,140000000,180.18,7.046,1593,True,True,True
American History X,1998,73,American History X,20000000,23900000,1.2,8.327,12648,True,True,True
American Madness,1932,1773,American Madness,0,0,,6.9,49,False,False,False
American Pie,1999,2105,American Pie,11000000,235483004,21.41,6.609,8354,True,True,True
American Psycho,2000,1359,American Psycho,7000000,34269748,4.9,7.403,12374,True,True,True
American Shaolin,1991,36934,American Shaolin,0,0,,5.7,61,False,True,False
American Splendor,2003,2771,American Splendor,2000000,6003587,3.0,7.152,538,True,True,True
Amour,2012,86837,Amour,8900000,29800000,3.35,7.755,1782,True,True,True
An American Tragedy,1931,86232,An American Tragedy,0,0,,6.3,18,False,False,False
An American Werewolf in London,1981,814,An American Werewolf in London,10000000,31973249,3.2,7.397,2720,True,True,True
An American Werewolf in Paris,1997,9406,An American Werewolf in Paris,22000000,26570463,1.21,5.941,767,True,True,True
An Education,2009,24684,An Education,10000000,26096852,2.61,6.938,1433,True,True,True
An Officer and a Gentleman,1982,2623,An Officer and a Gentleman,7500000,129795554,17.31,7.023,1200,True,True,True
